n,CPU,GPU
2,0.00000905991,0.00553608
4,0.00000786781,0.00377202
8,0.0000128746,0.00417304
16,0.0000100136,0.004071
32,0.000015974,0.00431108
64,0.0000138283,0.00377321
128,0.0000140667,0.00390887
256,0.000174046,0.0111949
512,0.000193119,0.013247
1024,0.000196934,0.0150001
2048,0.000377893,0.008744
4096,0.000736952,0.0125329
8192,0.0015111,0.00832081
16384,0.00258088,0.011981
32768,0.00531507,0.025893
65536,0.012141,0.041239
131072,0.0239282,0.095618
262144,0.0495839,0.0845518
524288,0.114146,0.135269
1048576,0.231067,0.097167
2097152,0.491656,0.171948
4194304,0.996348,0.302246
8388608,2.0149,0.546396
16777216,4.52233,1.06208
n,CPU,GPU
2,3.09944e-06,0.00324297
4,3.09944e-06,0.00327492
8,3.09944e-06,0.00324893
16,4.05312e-06,0.003263
32,5.00679e-06,0.00327182
64,6.91414e-06,0.00321984
128,1.28746e-05,0.00325704
256,9.799e-05,0.0070219
512,0.00012207,0.00708795
1024,0.000177145,0.00697589
2048,0.00029707,0.00702882
4096,0.000549793,0.00710702
8192,0.00109696,0.00727701
16384,0.0022881,0.00767303
32768,0.00478101,0.0124221
65536,0.00998998,0.0302091
131072,0.021045,0.0330369
262144,0.0442438,0.0396512
524288,0.0933781,0.0549181
1048576,0.196256,0.085413
2097152,0.413024,0.1472
4194304,0.862948,0.272461
8388608,1.80631,0.518559
16777216,3.76155,1.01473
33554432,7.86949,2.00029
67108864,16.3554,3.95616
